"job_id","job_title","job_location","company_name","salary_year_avg","skills","type"
552322,"Associate Director- Data Insights","Anywhere","AT&T","255829.5","sql","programming"
552322,"Associate Director- Data Insights","Anywhere","AT&T","255829.5","python","programming"
552322,"Associate Director- Data Insights","Anywhere","AT&T","255829.5","r","programming"
552322,"Associate Director- Data Insights","Anywhere","AT&T","255829.5","azure","cloud"
552322,"Associate Director- Data Insights","Anywhere","AT&T","255829.5","databricks","cloud"
552322,"Associate Director- Data Insights","Anywhere","AT&T","255829.5","aws","cloud"
552322,"Associate Director- Data Insights","Anywhere","AT&T","255829.5","pandas","libraries"
552322,"Associate Director- Data Insights","Anywhere","AT&T","255829.5","pyspark","libraries"
552322,"Associate Director- Data Insights","Anywhere","AT&T","255829.5","jupyter","libraries"
552322,"Associate Director- Data Insights","Anywhere","AT&T","255829.5","excel","analyst_tools"
552322,"Associate Director- Data Insights","Anywhere","AT&T","255829.5","tableau","analyst_tools"
552322,"Associate Director- Data Insights","Anywhere","AT&T","255829.5","power bi","analyst_tools"
552322,"Associate Director- Data Insights","Anywhere","AT&T","255829.5","powerpoint","analyst_tools"
99305,"Data Analyst, Marketing","Anywhere","Pinterest Job Advertisements","232423.0","sql","programming"
99305,"Data Analyst, Marketing","Anywhere","Pinterest Job Advertisements","232423.0","python","programming"
99305,"Data Analyst, Marketing","Anywhere","Pinterest Job Advertisements","232423.0","r","programming"
99305,"Data Analyst, Marketing","Anywhere","Pinterest Job Advertisements","232423.0","hadoop","libraries"
99305,"Data Analyst, Marketing","Anywhere","Pinterest Job Advertisements","232423.0","tableau","analyst_tools"
1021647,"Data Analyst (Hybrid/Remote)","Anywhere","Uclahealthcareers","217000.0","sql","programming"
1021647,"Data Analyst (Hybrid/Remote)","Anywhere","Uclahealthcareers","217000.0","crystal","programming"
1021647,"Data Analyst (Hybrid/Remote)","Anywhere","Uclahealthcareers","217000.0","oracle","cloud"
1021647,"Data Analyst (Hybrid/Remote)","Anywhere","Uclahealthcareers","217000.0","tableau","analyst_tools"
1021647,"Data Analyst (Hybrid/Remote)","Anywhere","Uclahealthcareers","217000.0","flow","other"
168310,"Principal Data Analyst (Remote)","Anywhere","SmartAsset","205000.0","sql","programming"
168310,"Principal Data Analyst (Remote)","Anywhere","SmartAsset","205000.0","python","programming"
168310,"Principal Data Analyst (Remote)","Anywhere","SmartAsset","205000.0","go","programming"
168310,"Principal Data Analyst (Remote)","Anywhere","SmartAsset","205000.0","snowflake","cloud"
168310,"Principal Data Analyst (Remote)","Anywhere","SmartAsset","205000.0","pandas","libraries"
168310,"Principal Data Analyst (Remote)","Anywhere","SmartAsset","205000.0","numpy","libraries"
168310,"Principal Data Analyst (Remote)","Anywhere","SmartAsset","205000.0","excel","analyst_tools"
168310,"Principal Data Analyst (Remote)","Anywhere","SmartAsset","205000.0","tableau","analyst_tools"
168310,"Principal Data Analyst (Remote)","Anywhere","SmartAsset","205000.0","gitlab","other"
731368,"Director, Data Analyst - HYBRID","Anywhere","Inclusively","189309.0","sql","programming"
731368,"Director, Data Analyst - HYBRID","Anywhere","Inclusively","189309.0","python","programming"
731368,"Director, Data Analyst - HYBRID","Anywhere","Inclusively","189309.0","azure","cloud"
731368,"Director, Data Analyst - HYBRID","Anywhere","Inclusively","189309.0","aws","cloud"
731368,"Director, Data Analyst - HYBRID","Anywhere","Inclusively","189309.0","oracle","cloud"
731368,"Director, Data Analyst - HYBRID","Anywhere","Inclusively","189309.0","snowflake","cloud"
